title,NER
Chicken Curry,"[""chicken breasts"", ""flour"", ""curry powder"", ""oil"", ""sugar"", ""chicken bouillon cubes"", ""water"", ""apricots"", ""onion"", ""mushrooms"", ""soy sauce"", ""lemon juice""]"
Chicken Curry(Recipe From India)  ,"[""onion"", ""celery"", ""butter"", ""flour"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""salt"", ""pepper"", ""curry powder"", ""chicken"", ""rice""]"
Pakistani Chicken Curry,"[""chicken breasts"", ""garlic"", ""butter"", ""ground coriander"", ""ground cumin"", ""salt"", ""onions"", ""ginger root"", ""tomato paste"", ""turmeric"", ""yogurt""]"
Indian Chicken Curry,"[""butter"", ""onion"", ""celery"", ""tart apples"", ""curry powder"", ""flour"", ""chicken broth"", ""cream of coconut"", ""chicken""]"
Fresh Corn And Tomatoes With Curry,"[""corn"", ""butter"", ""scallions"", ""curry powder"", ""tomatoes"", ""salt"", ""cucumbers"", ""coriander""]"
Easy Indian Curry,"[""shrimp"", ""vegetable oil"", ""onion"", ""tomatoes"", ""green chili"", ""lemon"", ""sugar"", ""paprika"", ""curry powder"", ""salt"", ""garlic"", ""cream of coconut"", ""water"", ""white rice""]"
Shrimp Curry,"[""patty shells"", ""butter"", ""onion"", ""garlic"", ""flour"", ""curry powder"", ""salt"", ""light cream"", ""fresh shrimp"", ""chutney"", ""coconut""]"
Curry Chicken With Pineapple In Coconut Milk,"[""boneless chicken"", ""vegetable"", ""fish sauce"", ""bamboo shoots"", ""curry paste"", ""coconut milk"", ""pineapple"", ""basil"", ""carrots"", ""baby corn""]"
Curry Chicken Divan,"[""chicken breasts"", ""carrot"", ""onion"", ""salt"", ""frozen broccoli"", ""cream of chicken soup"", ""mayonnaise"", ""milk"", ""Cheddar cheese"", ""lemon juice"", ""curry powder"", ""butter"", ""bread crumbs""]"
Lamb Curry,"[""stalks celery"", ""onion"", ""apple"", ""butter"", ""flour"", ""curry powder"", ""Worcestershire sauce"", ""garlic salt"", ""chicken"", ""additional bouillon"", ""coconut"", ""rice""]"
Easy Chicken Curry,"[""chicken breast"", ""Campbell's cream"", ""Campbell's cream"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""butter"", ""black pepper"", ""broccoli""]"
Quick Shrimp Curry,"[""onion"", ""clove garlic"", ""curry powder"", ""butter"", ""condensed cream"", ""milk"", ""shrimp"", ""peas"", ""rice""]"
